date,rodent_id,trap_id,site_id,trap_night,initial_species_id,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina,teats_visible,pairs_teats,number_embryos,blood_filter,filter_id,serum,liver_spleen,ear_sampled,eye_sampled,photos,field_id,notes
2020-12-01T00:00:00Z,LAL-01,21,1,1,l_sikapusi,79,140,78,22,17,40,male,outside,not_noted,na,na,na,na,y,LAL-01,y,y,y,y,y,l_sikapusi,NA
2020-12-01T00:00:00Z,LAL-02,46,1,1,crocidura_spp,39,137,84,20,11,44,male,inside,not_noted,na,na,na,na,y,LAL-02,y,y,y,y,y,crocidura_spp,NA
2020-12-02T00:00:00Z,LAL-03,102,2,1,l_striatus,55,118,123,26,18,29,female,na,na,open,visible,not_counted,6,y,LAL-03,minimal,y,y,y,y,l_striatus,NA
2020-12-02T00:00:00Z,LAL-04,106,2,1,l_sikapusi,60.5,138,69,22,14,39,male,outside,developed,na,na,na,na,y,LAL-04,y,y,y,y,y,l_sikapusi,NA
2020-12-02T00:00:00Z,LAL-05,184,3b,1,crocidura_spp,12,84,54,14,9,29,male,inside,not_noted,na,na,na,na,y,LAL-05,"no, heart tissue taken",y,y,y,y,crocidura_spp,NA
2020-12-03T00:00:00Z,LAL-06,28,1,3,m_minutoides,14,75,58,13,11,24,female,na,na,not_noted,visible,2+1,3,y,LAL-06,y,y,y,y,y,m_minutoides,NA
2020-12-03T00:00:00Z,LAL-07,40,1,3,m_minutoides,14,78,60,10.4,10,10.5,male,outside,not_noted,na,na,na,na,y,LAL-07,y,y,y,y,y,m_minutoides,NA
2020-12-03T00:00:00Z,LAL-08,45,1,3,crocidura_spp,27,120,80,10.6,10,35,male,inside,not_noted,na,na,na,na,y,LAL-08,y,y,y,y,y,crocidura_spp,NA
2020-12-03T00:00:00Z,LAL-09,57,2,2,l_sikapusi,70,132,34,21,22,35,male,outside,not_noted,na,na,na,na,y,LAL-09,y,y,y,y,y,l_sikapusi,cut_tail
2020-12-03T00:00:00Z,LAL-10,104,2,2,l_sikapusi,74,139,60,20,17,35,male,outside,developed,na,na,na,na,y,LAL-10,y,y,y,y,y,l_sikapusi,NA
2020-12-03T00:00:00Z,LAL-11,105,2,2,l_sikapusi,55,124,80,22,19,34,female,na,na,open,barely_visible,not_counted,0,y,LAL-11,y,y,y,y,y,l_sikapusi,NA
2020-12-03T00:00:00Z,LAL-12,134,2,2,crocidura_spp,29,119,74,17,11,34,female,na,na,open,visible,not_counted,3,y,LAL-12,y,y,y,y,y,crocidura_spp,NA
2020-12-03T00:00:00Z,LAL-13,184,3b,2,crocidura_spp,25,117,67,17,10,34,female,na,na,not_noted,not_noted,not_counted,0,y,LAL-13,y,y,y,y,y,crocidura_spp,NA
2020-12-03T00:00:00Z,LAL-14,248,6,1,crocidura_spp,25,114,50,16,10,29,male,inside,not_noted,na,na,na,na,y,LAL-14,y,y,y,y,y,crocidura_spp,NA
2020-12-03T00:00:00Z,LAL-15,252,6,1,crocidura_spp,17,93,55,14,7,25,male,inside,not_noted,na,na,na,na,y,LAL-15,y,y,y,y,y,crocidura_spp,NA
2020-12-03T00:00:00Z,LAL-16,263,6,1,crocidura_spp,10.1,89,57,14,7,29,male,inside,not_noted,na,na,na,na,y,LAL-16,y,y,y,y,y,crocidura_spp,NA
2020-12-04T00:00:00Z,LAL-17,11,1,4,m_minutoides,13,73,56,16,12,25,female,na,na,open,not_noted,not_counted,5,y,LAL-17,y,y,y,y,y,m_minutoides,NA
2020-12-04T00:00:00Z,LAL-18,57,2,3,l_sikapusi,67,133,70,23,17,33,male,outside,developed,na,na,na,na,y,LAL-18,y,y,y,y,y,l_sikapusi,NA
2020-12-04T00:00:00Z,LAL-19,59,2,3,l_sikapusi,73,132,72,24,17,37,female,na,na,open,not_noted,not_counted,3,y,LAL-19,y,y,y,y,y,l_sikapusi,NA
2020-12-04T00:00:00Z,LAL-20,106,2,3,crocidura_spp,13,89,58,17,7,29,male,inside,not_noted,na,na,na,na,y,LAL-20,"no, heart tissue taken",y,y,n,y,crocidura_spp,NA
2020-12-04T00:00:00Z,LAL-21,184,3b,3,crocidura_spp,25,117,57,18,9,32,female,na,na,open,not_noted,not_counted,0,y,LAL-21,y,y,y,n,y,crocidura_spp,NA
2020-12-04T00:00:00Z,LAL-22,254,6,2,crocidura_spp,13,88,65,15,7,24,male,inside,not_noted,na,na,na,na,y,LAL-22,y,y,y,n,y,crocidura_spp,NA
2020-12-05T00:00:00Z,SEI-001,215,5,1,malacomys_edwardsi,42,113,152,26,22,41,female,na,na,open,not_noted,not_counted,3,y,SEI-001,y,y,y,y,y,malacomys_edwardsi,NA
2020-12-05T00:00:00Z,SEI-002,18,1,1,m_minutoides,10,71,58,17,14,27,male,outside,not_noted,na,na,na,na,y,SEI-002,y,y,y,y,y,m_minutoides,NA
2020-12-05T00:00:00Z,SEI-003,44,1,1,l_sikapusi,65,130,64,23,17,35,male,outside,developed,na,na,na,na,y,SEI-003,y,y,y,y,y,l_sikapusi,NA
2020-12-05T00:00:00Z,SEI-004,88,2,1,l_sikapusi,74,125,47,23,16,37,male,outside,developed,na,na,na,na,y,SEI-004,y,y,y,y,y,l_sikapusi,cut_tail
2020-12-05T00:00:00Z,SEI-005,138,3,1,malacomys_edwardsi,53,125,153,27,23,37,female,na,na,open,visible,2,0,y,SEI-005,y,y,y,y,y,malacomys_edwardsi,evidence_previous_pregnancy
2020-12-05T00:00:00Z,SEI-006,147,3,1,malacomys_edwardsi,48,128,155,26,21,35,female,na,na,open,visible,2,0,y,SEI-006,"no, heart tissue taken",y,y,y,y,malacomys_edwardsi,lactating
2020-12-05T00:00:00Z,SEI-007,177,4,1,crocidura_spp,24,106,78,23,9,36,female,na,na,not_noted,not_noted,not_counted,0,y,SEI-007,y,y,y,y,y,crocidura_spp,NA
2020-12-06T00:00:00Z,SEI-008,8,1,2,praomys_spp,53,116,132,27,19,35,male,outside,developed,na,na,na,na,y,SEI-008,y,y,y,y,y,praomys_spp,NA
2020-12-06T00:00:00Z,SEI-009,22,1,2,praomys_spp,17,85,18,24,17,27,male,outside,developed,na,na,na,na,y,SEI-009,y,y,y,y,y,praomys_spp,NA
